Site,Site Name,Energy Consumption (kWh),Date
CCC0501,Caliber 0501,1611.86,11/1/2019
CCC0501,Caliber 0501,911.89,11/2/2019
CCC0501,Caliber 0501,939.28,11/3/2019
CCC0501,Caliber 0501,1570.04,11/4/2019
CCC0501,Caliber 0501,1562.43,11/5/2019
CCC0501,Caliber 0501,1547.96,11/6/2019
CCC0501,Caliber 0501,1557.28,11/7/2019
CCC0501,Caliber 0501,1586.02,11/8/2019
CCC0501,Caliber 0501,688.22,11/9/2019
CCC0501,Caliber 0501,168.92,11/10/2019
CCC0501,Caliber 0501,1287.08,11/11/2019
CCC0501,Caliber 0501,1618.42,11/12/2019
CCC0501,Caliber 0501,1683.21,11/13/2019
CCC0501,Caliber 0501,1647.18,11/14/2019
CCC0501,Caliber 0501,1723.23,11/15/2019
CCC0501,Caliber 0501,863.54,11/16/2019
CCC0501,Caliber 0501,619.67,11/17/2019
CCC0501,Caliber 0501,1480.98,11/18/2019
CCC0501,Caliber 0501,1615.86,11/19/2019
CCC0501,Caliber 0501,1618,11/20/2019
CCC0501,Caliber 0501,1762.44,11/21/2019
CCC0501,Caliber 0501,1443.2,11/22/2019
CCC0501,Caliber 0501,732.09,11/23/2019
CCC0501,Caliber 0501,156.61,11/24/2019
CCC0501,Caliber 0501,1344.64,11/25/2019
CCC0501,Caliber 0501,1604.5,11/26/2019
CCC0501,Caliber 0501,1544.19,11/27/2019
CCC0501,Caliber 0501,885.3,11/28/2019
CCC0501,Caliber 0501,1471.3,11/29/2019
CCC0501,Caliber 0501,967.05,11/30/2019
CCC0501,Caliber 0501,887.67,12/1/2019
CCC0501,Caliber 0501,1431.11,12/2/2019
CCC0501,Caliber 0501,1635.27,12/3/2019
CCC0501,Caliber 0501,1665.07,12/4/2019
CCC0501,Caliber 0501,1745.85,12/5/2019
CCC0501,Caliber 0501,1575.97,12/6/2019
CCC0501,Caliber 0501,977.6,12/7/2019
CCC0501,Caliber 0501,924.92,12/8/2019
CCC0501,Caliber 0501,1394.12,12/9/2019
CCC0501,Caliber 0501,1664.83,12/10/2019
CCC0501,Caliber 0501,1702.22,12/11/2019
CCC0501,Caliber 0501,1646.83,12/12/2019
CCC0501,Caliber 0501,1651.19,12/13/2019
CCC0501,Caliber 0501,1200.93,12/14/2019
CCC0501,Caliber 0501,1313.53,12/15/2019
CCC0501,Caliber 0501,1955.82,12/16/2019
CCC0501,Caliber 0501,1892.63,12/17/2019
CCC0501,Caliber 0501,1788.39,12/18/2019
CCC0501,Caliber 0501,1784.71,12/19/2019
CCC0501,Caliber 0501,1671.87,12/20/2019
CCC0501,Caliber 0501,654.37,12/21/2019
CCC0501,Caliber 0501,202.74,12/22/2019
CCC0501,Caliber 0501,1363.62,12/23/2019
CCC0501,Caliber 0501,1518.38,12/24/2019
CCC0501,Caliber 0501,1318.01,12/25/2019
CCC0501,Caliber 0501,1681.99,12/26/2019
