,PFL1,THDVL1,MDIL1,Date
2019-07-13 12:00:00,0.9725,1.7,0.0,2019-07-13 12:00:00
2019-07-13 13:00:00,0.9875,1.7999999999999998,70.25,2019-07-13 13:00:00
2019-07-13 14:00:00,0.99,1.875,140.5,2019-07-13 14:00:00
2019-07-13 15:00:00,0.9875,2.425,140.5,2019-07-13 15:00:00
2019-07-13 16:00:00,0.9900000000000001,1.9166666666666667,140.5,2019-07-13 16:00:00
2019-07-13 17:00:00,0.99,2.275,140.5,2019-07-13 17:00:00
2019-07-13 18:00:00,0.99,2.5749999999999997,140.5,2019-07-13 18:00:00
2019-07-13 19:00:00,0.99,2.325,140.5,2019-07-13 19:00:00
2019-07-13 20:00:00,0.99,2.475,140.5,2019-07-13 20:00:00
2019-07-13 21:00:00,0.99,2.275,140.5,2019-07-13 21:00:00
2019-07-13 22:00:00,0.9874999999999999,2.775,140.5,2019-07-13 22:00:00
2019-07-13 23:00:00,0.9825,1.85,140.5,2019-07-13 23:00:00
2019-07-14 00:00:00,0.99,2.025,140.5,2019-07-14 00:00:00
2019-07-14 01:00:00,0.99,1.2000000000000002,140.5,2019-07-14 01:00:00
2019-07-14 02:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 02:00:00
2019-07-14 03:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 03:00:00
2019-07-14 04:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 04:00:00
2019-07-14 05:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 05:00:00
2019-07-14 06:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 06:00:00
2019-07-14 07:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 07:00:00
2019-07-14 08:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 08:00:00
2019-07-14 09:00:00,0.9866666666666667,0.9666666666666667,140.5,2019-07-14 09:00:00
2019-07-14 10:00:00,0.97,1.4,140.5,2019-07-14 10:00:00
2019-07-14 11:00:00,0.9850000000000001,1.7249999999999999,140.5,2019-07-14 11:00:00
2019-07-14 12:00:00,0.9866666666666667,1.7000000000000002,140.5,2019-07-14 12:00:00
2019-07-14 13:00:00,0.9875,1.9,140.5,2019-07-14 13:00:00
2019-07-14 14:00:00,0.9875,2.525,140.5,2019-07-14 14:00:00
2019-07-14 15:00:00,0.99,2.025,140.5,2019-07-14 15:00:00
2019-07-14 16:00:00,0.99,2.1750000000000003,140.5,2019-07-14 16:00:00
2019-07-14 17:00:00,0.99,2.425,140.5,2019-07-14 17:00:00
2019-07-14 18:00:00,0.99,2.575,140.5,2019-07-14 18:00:00
2019-07-14 19:00:00,0.99,2.45,140.5,2019-07-14 19:00:00
2019-07-14 20:00:00,0.99,2.425,140.5,2019-07-14 20:00:00
2019-07-14 21:00:00,0.9874999999999999,2.5,140.5,2019-07-14 21:00:00
2019-07-14 22:00:00,0.9875,2.05,140.5,2019-07-14 22:00:00
2019-07-14 23:00:00,0.99,2.3499999999999996,140.5,2019-07-14 23:00:00
2019-07-15 00:00:00,0.99,1.875,140.5,2019-07-15 00:00:00
2019-07-15 01:00:00,0.99,1.425,140.5,2019-07-15 01:00:00
2019-07-15 02:00:00,0.99,1.325,140.5,2019-07-15 02:00:00
2019-07-15 03:00:00,0.99,1.3,140.5,2019-07-15 03:00:00
2019-07-15 04:00:00,0.99,1.7249999999999999,140.5,2019-07-15 04:00:00
2019-07-15 05:00:00,0.99,1.2000000000000002,140.5,2019-07-15 05:00:00
2019-07-15 06:00:00,0.99,1.25,140.5,2019-07-15 06:00:00
2019-07-15 07:00:00,0.99,1.35,140.5,2019-07-15 07:00:00
2019-07-15 08:00:00,0.9849999999999999,1.5,140.5,2019-07-15 08:00:00
2019-07-15 09:00:00,0.9875,1.5499999999999998,140.5,2019-07-15 09:00:00
2019-07-15 10:00:00,0.99,1.725,140.5,2019-07-15 10:00:00
2019-07-15 11:00:00,0.9875,2.325,140.5,2019-07-15 11:00:00
2019-07-15 12:00:00,0.9874999999999999,2.1500000000000004,140.5,2019-07-15 12:00:00
2019-07-15 13:00:00,0.99,2.48,140.5,2019-07-15 13:00:00
2019-07-15 14:00:00,0.99,2.6,140.5,2019-07-15 14:00:00
2019-07-15 15:00:00,0.99,2.625,140.5,2019-07-15 15:00:00
2019-07-15 16:00:00,0.99,2.575,140.5,2019-07-15 16:00:00
2019-07-15 17:00:00,0.99,2.9499999999999997,140.5,2019-07-15 17:00:00
2019-07-15 18:00:00,0.99,2.9250000000000003,140.5,2019-07-15 18:00:00
2019-07-15 19:00:00,0.99,2.7749999999999995,140.5,2019-07-15 19:00:00
2019-07-15 20:00:00,0.99,3.1999999999999997,140.5,2019-07-15 20:00:00
2019-07-15 21:00:00,0.99,2.475,140.5,2019-07-15 21:00:00
2019-07-15 22:00:00,0.9875,1.975,140.5,2019-07-15 22:00:00
2019-07-15 23:00:00,0.99,1.9,140.5,2019-07-15 23:00:00
2019-07-16 00:00:00,0.99,1.35,140.5,2019-07-16 00:00:00
2019-07-16 01:00:00,0.99,1.375,140.5,2019-07-16 01:00:00
2019-07-16 02:00:00,0.99,1.3,140.5,2019-07-16 02:00:00
2019-07-16 03:00:00,0.9899999999999999,1.3333333333333333,140.5,2019-07-16 03:00:00
2019-07-16 04:00:00,0.99,1.25,140.5,2019-07-16 04:00:00
2019-07-16 05:00:00,0.975,1.225,140.5,2019-07-16 05:00:00
2019-07-16 06:00:00,0.98,2.8000000000000003,140.5,2019-07-16 06:00:00
2019-07-16 07:00:00,0.9766666666666666,1.833333333333333,140.5,2019-07-16 07:00:00
2019-07-16 08:00:00,0.9724999999999999,1.4000000000000001,140.5,2019-07-16 08:00:00
2019-07-16 09:00:00,0.9850000000000001,1.4,140.5,2019-07-16 09:00:00
2019-07-16 10:00:00,0.99,1.625,140.5,2019-07-16 10:00:00
2019-07-16 11:00:00,0.99,1.75,140.5,2019-07-16 11:00:00
2019-07-16 12:00:00,0.99,1.85,140.5,2019-07-16 12:00:00
2019-07-16 13:00:00,0.99,1.975,140.5,2019-07-16 13:00:00
2019-07-16 14:00:00,0.99,2.025,140.5,2019-07-16 14:00:00
2019-07-16 15:00:00,0.99,2.1,140.5,2019-07-16 15:00:00
2019-07-16 16:00:00,0.99,2.0999999999999996,140.5,2019-07-16 16:00:00
2019-07-16 17:00:00,0.99,2.35,140.5,2019-07-16 17:00:00
2019-07-16 18:00:00,0.99,3.15,145.5,2019-07-16 18:00:00
2019-07-16 19:00:00,0.99,2.25,152.1,2019-07-16 19:00:00
2019-07-16 20:00:00,0.99,2.275,168.35,2019-07-16 20:00:00
2019-07-16 21:00:00,0.99,2.125,184.6,2019-07-16 21:00:00
2019-07-16 22:00:00,0.99,1.8499999999999999,184.6,2019-07-16 22:00:00
2019-07-16 23:00:00,0.99,1.75,184.6,2019-07-16 23:00:00
2019-07-17 00:00:00,0.99,1.375,184.6,2019-07-17 00:00:00
2019-07-17 01:00:00,0.99,1.175,184.6,2019-07-17 01:00:00
2019-07-17 02:00:00,0.99,1.125,184.6,2019-07-17 02:00:00
2019-07-17 03:00:00,0.99,1.1749999999999998,184.6,2019-07-17 03:00:00
2019-07-17 04:00:00,0.99,1.0750000000000002,184.6,2019-07-17 04:00:00
2019-07-17 05:00:00,0.99,1.0,184.6,2019-07-17 05:00:00
2019-07-17 06:00:00,0.99,1.175,184.6,2019-07-17 06:00:00
2019-07-17 07:00:00,0.99,1.1500000000000001,184.6,2019-07-17 07:00:00
2019-07-17 08:00:00,0.99,1.475,184.6,2019-07-17 08:00:00
2019-07-17 09:00:00,0.99,1.0,184.6,2019-07-17 09:00:00
2019-07-17 10:00:00,0.99,1.3250000000000002,184.6,2019-07-17 10:00:00
2019-07-17 11:00:00,0.99,1.6500000000000001,184.6,2019-07-17 11:00:00
2019-07-17 12:00:00,0.99,1.775,184.6,2019-07-17 12:00:00
2019-07-17 13:00:00,0.99,1.8250000000000002,184.6,2019-07-17 13:00:00
2019-07-17 14:00:00,0.99,1.7999999999999998,184.6,2019-07-17 14:00:00
2019-07-17 15:00:00,0.99,1.5999999999999999,184.6,2019-07-17 15:00:00
2019-07-17 16:00:00,0.99,1.7,184.6,2019-07-17 16:00:00
2019-07-17 17:00:00,0.99,1.825,184.6,2019-07-17 17:00:00
2019-07-17 18:00:00,0.99,2.0999999999999996,184.6,2019-07-17 18:00:00
2019-07-17 19:00:00,0.99,2.1500000000000004,189.075,2019-07-17 19:00:00
2019-07-17 20:00:00,0.99,2.175,189.5,2019-07-17 20:00:00
2019-07-17 21:00:00,0.99,1.95,189.5,2019-07-17 21:00:00
